"","ID","leadid","obsid","ccode","year","tenurestart","tenureend","leftoffice","age","fename","LatinAm","Europe","Africa","Asia","MidEast"
"1",1,"A2.5-1","USA-1869",2,1869,0,1,0,47,0,0,0,0,0,0
"2",2,"A2.5-1","USA-1869",2,1870,1,2,0,48,0,0,0,0,0,0
"3",3,"A2.5-1","USA-1869",2,1871,2,3,0,49,0,0,0,0,0,0
"4",4,"A2.5-1","USA-1869",2,1872,3,4,0,50,0,0,0,0,0,0
"5",5,"A2.5-1","USA-1869",2,1873,4,5,0,51,0,0,0,0,0,0
"6",6,"A2.5-1","USA-1869",2,1874,5,6,0,52,0,0,0,0,0,0
"7",7,"A2.5-1","USA-1869",2,1875,6,7,0,53,0,0,0,0,0,0
"8",8,"A2.5-1","USA-1869",2,1876,7,8,0,54,0,0,0,0,0,0
"9",9,"A2.5-1","USA-1869",2,1877,7,8,1,55,0,0,0,0,0,0
"10",10,"A2.5-4","USA-1877",2,1877,0,1,0,55,0,0,0,0,0,0
"11",11,"A2.5-4","USA-1877",2,1878,1,2,0,56,0,0,0,0,0,0
"12",12,"A2.5-4","USA-1877",2,1879,2,3,0,57,0,0,0,0,0,0
"13",13,"A2.5-4","USA-1877",2,1880,3,4,0,58,0,0,0,0,0,0
"14",14,"A2.5-4","USA-1877",2,1881,3,4,1,59,0,0,0,0,0,0
"15",15,"A2.5-7","USA-1881-1",2,1881,0,1,1,50,0,0,0,0,0,0
"16",16,"A2.5-10","USA-1881-2",2,1881,-1,0,0,52,0,0,0,0,0,0
"17",17,"A2.5-10","USA-1881-2",2,1882,0,1,0,53,0,0,0,0,0,0
"18",18,"A2.5-10","USA-1881-2",2,1883,1,2,0,54,0,0,0,0,0,0
"19",19,"A2.5-10","USA-1881-2",2,1884,2,3,0,55,0,0,0,0,0,0
"20",20,"A2.5-13","USA-1885",2,1885,0,1,0,48,0,0,0,0,0,0
"21",21,"A2.5-10","USA-1881-2",2,1885,2,3,1,56,0,0,0,0,0,0
"22",22,"A2.5-13","USA-1885",2,1886,1,2,0,49,0,0,0,0,0,0
"23",23,"A2.5-13","USA-1885",2,1887,2,3,0,50,0,0,0,0,0,0
"24",24,"A2.5-13","USA-1885",2,1888,3,4,0,51,0,0,0,0,0,0
"25",25,"A2.5-13","USA-1885",2,1889,3,4,1,52,0,0,0,0,0,0
"26",26,"A2.5-16","USA-1889",2,1889,0,1,0,56,0,0,0,0,0,0
"27",27,"A2.5-16","USA-1889",2,1890,1,2,0,57,0,0,0,0,0,0
"28",28,"A2.5-16","USA-1889",2,1891,2,3,0,58,0,0,0,0,0,0
"29",29,"A2.5-16","USA-1889",2,1892,3,4,0,59,0,0,0,0,0,0
"30",30,"A2.5-16","USA-1889",2,1893,3,4,1,60,0,0,0,0,0,0
"31",31,"A2.5-19","USA-1893",2,1893,0,1,0,56,0,0,0,0,0,0
"32",32,"A2.5-19","USA-1893",2,1894,1,2,0,57,0,0,0,0,0,0
"33",33,"A2.5-19","USA-1893",2,1895,2,3,0,58,0,0,0,0,0,0
"34",34,"A2.5-19","USA-1893",2,1896,3,4,0,59,0,0,0,0,0,0
"35",35,"A2.5-22","USA-1897",2,1897,0,1,0,54,0,0,0,0,0,0
"36",36,"A2.5-19","USA-1893",2,1897,3,4,1,60,0,0,0,0,0,0
"37",37,"A2.5-22","USA-1897",2,1898,1,2,0,55,0,0,0,0,0,0
"38",38,"A2.5-22","USA-1897",2,1899,2,3,0,56,0,0,0,0,0,0
"39",39,"A2.5-22","USA-1897",2,1900,3,4,0,57,0,0,0,0,0,0
"40",40,"A2.5-22","USA-1897",2,1901,4,5,1,58,0,0,0,0,0,0
"41",41,"A2.5-25","USA-1901",2,1901,-1,0,0,43,0,0,0,0,0,0
"42",42,"A2.5-25","USA-1901",2,1902,0,1,0,44,0,0,0,0,0,0
"43",43,"A2.5-25","USA-1901",2,1903,1,2,0,45,0,0,0,0,0,0
"44",44,"A2.5-25","USA-1901",2,1904,2,3,0,46,0,0,0,0,0,0
"45",45,"A2.5-25","USA-1901",2,1905,3,4,0,47,0,0,0,0,0,0
"46",46,"A2.5-25","USA-1901",2,1906,4,5,0,48,0,0,0,0,0,0
"47",47,"A2.5-25","USA-1901",2,1907,5,6,0,49,0,0,0,0,0,0
"48",48,"A2.5-25","USA-1901",2,1908,6,7,0,50,0,0,0,0,0,0
"49",49,"A2.5-25","USA-1901",2,1909,6,7,1,51,0,0,0,0,0,0
"50",50,"A2.5-28","USA-1909",2,1909,0,1,0,52,0,0,0,0,0,0
"51",51,"A2.5-28","USA-1909",2,1910,1,2,0,53,0,0,0,0,0,0
"52",52,"A2.5-28","USA-1909",2,1911,2,3,0,54,0,0,0,0,0,0
